"variable","pct_missing","FMI","flag"
"bzra_daily_diazepam_eq",2.4,0.107,"✓"
"desires_1",13,0.035,"✓"
"benefit_1",10,0.033,"✓"
"side_effects_1",10.2,0.032,"✓"
"benefit_6",10.4,0.031,"✓"
"inf_hcp_3",13.3,0.03,"✓"
"wdl_symptom_count",4,0.03,"✓"
"motivation_3",13,0.028,"✓"
"benefit_4",10.4,0.027,"✓"
"side_effects_3",10.4,0.026,"✓"
"adls_1",12.1,0.026,"✓"
"dbas_11",15.9,0.026,"✓"
"surps6",16.1,0.026,"✓"
"surps10",16.4,0.024,"✓"
"motivation_2",13,0.023,"✓"
"surps12",16.4,0.023,"✓"
"dbas_4",15.9,0.022,"✓"
"surps2",16.1,0.022,"✓"
"ciss18",17.1,0.022,"✓"
"dependence_1",12.6,0.021,"✓"
"desires_2",13.3,0.021,"✓"
"ciss1",16.8,0.021,"✓"
"ciss5",16.8,0.021,"✓"
"capability",13.3,0.02,"✓"
"inf_hcp_1",13.3,0.02,"✓"
"surps21",16.8,0.02,"✓"
"side_effects_4",12.1,0.019,"✓"
"dbas_2",15.9,0.019,"✓"
"dbas_14",15.9,0.019,"✓"
"surps22",16.8,0.019,"✓"
"ciss15",17.1,0.019,"✓"
"ciss16",17.1,0.019,"✓"
"benefit_5",10.2,0.018,"✓"
"dependence_2",13,0.018,"✓"
"dbas_3",15.9,0.018,"✓"
"dbas_10",15.9,0.018,"✓"
"surps4_r",16.1,0.018,"✓"
"surps14",16.4,0.018,"✓"
"ciss3",16.8,0.018,"✓"
"ciss9",16.8,0.018,"✓"
"ciss20",17.1,0.018,"✓"
"side_effects_2",10.4,0.017,"✓"
"surps13_r",16.4,0.017,"✓"
"surps15",16.4,0.017,"✓"
"surps23_r",16.8,0.017,"✓"
"ciss2",16.8,0.017,"✓"
"ciss4",16.8,0.017,"✓"
"ciss6",16.8,0.017,"✓"
"ciss10",16.8,0.017,"✓"
"dbas1",15.9,0.016,"✓"
"trusting",15.9,0.016,"✓"
"few_interests_r",15.9,0.016,"✓"
"thorough",15.9,0.016,"✓"
"imagination",15.9,0.016,"✓"
"surps1_r",16.1,0.016,"✓"
"surps18",16.8,0.016,"✓"
"dbas_8",15.9,0.015,"✓"
"dbas_12",15.9,0.015,"✓"
"lazy_r",15.9,0.015,"✓"
"surps3",16.1,0.015,"✓"
"surps19",16.8,0.015,"✓"
"ciss11",17.1,0.015,"✓"
"ciss14",17.1,0.015,"✓"
"ciss21",17.1,0.015,"✓"
"dbas_5",15.9,0.014,"✓"
"dbas_13",15.9,0.014,"✓"
"ciss8",16.8,0.014,"✓"
"dbas_6",15.9,0.013,"✓"
"reserved_r",15.9,0.013,"✓"
"relaxed_r",15.9,0.013,"✓"
"ciss13",17.1,0.013,"✓"
"surps8",16.1,0.012,"✓"
"surps9",16.4,0.012,"✓"
"surps16",16.4,0.012,"✓"
"ciss12",17.1,0.012,"✓"
"ciss17",17.1,0.012,"✓"
"ciss19",17.1,0.012,"✓"
"adls_2",12.3,0.011,"✓"
"motivation_1",13,0.011,"✓"
"dbas_15",15.9,0.011,"✓"
"dbas_16",15.9,0.011,"✓"
"find_fault_r",15.9,0.011,"✓"
"surps5",16.1,0.011,"✓"
"nervous",15.9,0.01,"✓"
"surps11",16.4,0.01,"✓"
"surps17",16.8,0.01,"✓"
"dbas_9",15.9,0.009,"✓"
"dependence_3",13,0.008,"✓"
"surps7_r",16.1,0.008,"✓"
"capability_1",13.3,0.007,"✓"
"dbas_7",15.9,0.007,"✓"
"surps20_r",16.8,0.007,"✓"
"ciss7",16.8,0.007,"✓"
"outgoing",15.9,0.006,"✓"
